quote,author,category
"I was going to move to New York after college and had no interest in pilot season. I'd seen what happened on TV shows because of my dad, and I didn't want to open myself up to that. But 'Pretty Little Liars' had a very early audition, and my agents encouraged me to go even though I didn't think it would be my thing.",Troian Bellisario,"Myself, College, Me "
I like wearing my dad's sweaters because I knew that he wore them when he held me when I was a baby.,Troian Bellisario,"Baby, Me, Like "
My Dad was my biggest supporter. He never put pressure on me.,Bobby Orr,"Me, Pressure, Never "
"I just went off for two months traveling around Europe on a motorcycle and pretty much turned my phone off. I did 5,000 miles with my dad. We went through Holland, Germany, Austria, Slovenia, Croatia, Bosnia, Montenegro, Italy... and then I did Spain and France by myself.",Michael Fassbender,"Myself, Motorcycle, Italy "
"All I want to do is be a good dad, but I'm pretty bad at it.",Jim Gaffigan,"Good, Want, Bad "
"I wanted to take up music, so my father bought me a blunt instrument. He told me to knock myself out.",Jay London,"Music, Father, Myself "
"My dad used to tell me, 'Look, son, opportunity does not come knocking.' It's usually running down the street, and you have to chase it down, you have to tackle it, and then you have to hang on to it.","David A. Clarke, Jr.","Son, Opportunity, Me "
"Since I stayed in a colony where either one was an engineer or a scientist, everybody thought I would be a scientist. This was the expectation everybody had apart from my parents. Honestly, I, too, wanted to be a scientist. I think it was the way Dad would explain us scientific theories and concepts that made the subject more intriguing.",Shreya Ghoshal,"Parents, Thought, Think "
One of my earliest memories is of my father carrying me in one arm with a picket sign in the other.,Camryn Manheim,"Memories, Father, Me "
Dad was the only adult male I ever trusted.,Michael Reagan,"Adult, Only, Trusted "
"Because of my father, we are that Shining City on a Hill.",Michael Reagan,"Father, City, Hill "
I have always thought of Walt Disney as my second father.,Annette Funicello,"Father, Thought, Always "
"Aeneas carried his aged father on his back from the ruins of Troy and so do we all, whether we like it or not, perhaps even if we have never known them.",Angela Carter,"Father, Never, Back "
"No, I never thought about my father's money as my money.",Christie Hefner,"Money, Father, Thought "
"My father loved people, children and pets.",Tony Visconti,"Children, Father, People "
"I was born and brought up in Liverpool with my clever little sister Jemma, who is 14 and wants to be a vet. My mum Jane is an administrator and my dad Peter is a taxi driver.",Jennifer Ellison,"Sister, Clever, Born "
"My father wouldn't get us a TV, he wouldn't allow a TV in the house.",Janis Joplin,"Father, House, Us "
I grew up in Greenwich Village. Dad was friends with John Lennon and Yoko Ono.,Yancy Butler,"Friends, Village, Up "
"I'm glad to have shown myself able to do other things rather than people thinking, 'Oh, he'll just do the same as his dad.' Dad was a brilliant actor, but it just so happened he was five foot five and a half, fat and bald.",Rory Kinnear,"Myself, Thinking, People "
I lost my dad way too early and it was agonisingly awful. I missed him so much and I hated knowing that I could never again pick up the phone to tell him about my day.,Monica Seles,"Day, Lost, Early "
I grew up not liking my father very much. I never saw him cry. But he must have. Everybody cries.,Charley Pride,"Father, Never, Him "
"I wanted my dad to be proud of me, and I fell into acting because there wasn't anything else I could do, and in it I found a discipline that I wanted to keep coming back to, that I love and I learn about every day.",Tom Hardy,"Love, Day, Me "
"I was always the new kid in school, I'm the kid from a broken family, I'm the kid who had no dad showing up at the father-son stuff, I'm the kid that was using food stamps at the grocery store.",Dave Mustaine,"Family, Food, School "
My father taught me how to substitute realities.,Mira Sorvino,"Father, Me, Taught "
